Current Period,Customer ID,Periods Active,Current Customer (Y/N),Period Acquired,Period Terminated,Acquisition Channel,Sector,Referred (Y/N),Premium (Y/N),Region,Co. Age,Size,No. Maker Contracts,No. Advanced Contracts,"Revenue, Total",Maker Revenue,Advanced Revenue,Expected CLV
9,1432,1,N,-5,-4,External,Aerospace,N,N,Southeast,10+yrs,Small,1,1,50000,21000,29000,12804
9,1433,14,Y,-5,,Internal,Aerospace,N,Y,Northeast,0-5yrs,Medium,2,1,104000,64000,40000,4097127
9,1447,4,N,-4,0,External,Aerospace,N,N,Midwest,6-10yrs,Small,0,2,58000,0,58000,954922
9,1448,1,N,-4,-3,External,Aerospace,N,N,Northeast,10+yrs,Medium,2,0,42000,42000,0,900272
9,1449,2,N,-4,-2,External,Aerospace,N,N,West,0-5yrs,Small,1,0,21000,21000,0,769466
9,1450,1,N,-4,-3,External,Aerospace,N,N,Southeast,6-10yrs,Small,0,1,29000,0,29000,510890
9,1451,1,N,-4,-3,External,Aerospace,N,N,Southeast,0-5yrs,Large,1,0,21000,21000,0,1895614
9,1452,1,N,-4,-3,External,Aerospace,N,N,Midwest,6-10yrs,Small,1,2,79000,21000,58000,337237
9,1453,3,N,-4,-1,External,Aerospace,N,N,Northeast,0-5yrs,Medium,3,0,63000,63000,0,1240541
9,1454,1,N,-4,-3,External,Aerospace,N,N,Northeast,10+yrs,Small,0,1,29000,0,29000,745030
9,1455,5,N,-4,1,External,Aerospace,N,N,Midwest,6-10yrs,Small,0,1,29000,0,29000,1980111
9,1456,2,N,-4,-2,External,Aerospace,N,N,West,0-5yrs,Medium,1,0,21000,21000,0,1918414
9,1457,1,N,-4,-3,Internal,Aerospace,N,N,West,0-5yrs,Medium,0,1,29000,0,29000,400344
9,1458,2,N,-4,-2,Internal,Aerospace,N,N,Midwest,0-5yrs,Small,2,0,42000,42000,0,1358143
9,1459,1,N,-4,-3,Internal,Aerospace,N,N,Northeast,0-5yrs,Small,0,2,58000,0,58000,1441517
9,1460,1,N,-4,-3,Internal,Aerospace,N,N,West,10+yrs,Medium,0,1,29000,0,29000,1188036
9,1461,2,N,-4,-2,Internal,Aerospace,N,N,Midwest,6-10yrs,Small,3,1,92000,63000,29000,394085
9,1462,2,N,-4,-2,Internal,Aerospace,N,N,Midwest,0-5yrs,Large,1,1,50000,21000,29000,1232488
9,1463,13,Y,-4,,Internal,Aerospace,N,Y,West,10+yrs,Small,3,0,96000,96000,0,2065579
9,1464,1,N,-4,-3,Internal,Aerospace,N,N,West,0-5yrs,Medium,1,0,21000,21000,0,2023329
9,1465,1,N,-4,-3,Internal,Aerospace,N,N,Midwest,0-5yrs,Medium,1,0,21000,21000,0,421574
9,1466,1,N,-4,-3,Internal,Aerospace,N,N,Southeast,10+yrs,Small,3,1,92000,63000,29000,1890560
9,1556,1,N,-3,-2,External,Aerospace,N,N,Northeast,6-10yrs,Large,1,0,21000,21000,0,479175
9,1557,3,N,-3,0,External,Aerospace,N,N,Midwest,0-5yrs,Medium,1,4,137000,21000,116000,630299
9,1558,1,N,-3,-2,External,Aerospace,N,N,West,6-10yrs,Small,1,0,21000,21000,0,652533
9,1559,1,N,-3,-2,External,Aerospace,N,N,Midwest,0-5yrs,Small,1,2,79000,21000,58000,797187
9,1560,3,N,-3,0,Internal,Aerospace,N,N,Southeast,6-10yrs,Small,1,0,21000,21000,0,1905279
9,1561,7,N,-3,4,Internal,Aerospace,N,N,Southeast,10+yrs,Small,4,2,142000,84000,58000,1298687
9,1562,3,N,-3,0,Internal,Aerospace,N,N,Midwest,10+yrs,Small,1,0,21000,21000,0,106710
9,1563,1,N,-3,-2,Internal,Aerospace,N,N,Southwest,0-5yrs,Small,0,1,29000,0,29000,3045140
9,1620,1,N,-2,-1,External,Aerospace,N,N,Southwest,0-5yrs,Small,1,1,50000,21000,29000,665333
9,1621,1,N,-2,-1,External,Aerospace,N,N,West,0-5yrs,Small,2,0,42000,42000,0,312469
9,1622,11,Y,-2,,External,Aerospace,N,Y,Southeast,0-5yrs,Medium,7,5,424000,224000,200000,3654776
9,1623,2,N,-2,0,External,Aerospace,N,N,Southwest,6-10yrs,Medium,1,0,21000,21000,0,1420440
9,1624,4,N,-2,2,External,Aerospace,N,N,Midwest,6-10yrs,Medium,1,1,50000,21000,29000,2582692
9,1625,11,Y,-2,,External,Aerospace,N,N,Northeast,0-5yrs,Small,1,3,108000,21000,87000,2316612
9,1626,7,N,-2,5,External,Aerospace,N,N,West,0-5yrs,Medium,4,1,113000,84000,29000,1568247
9,1627,7,N,-2,5,External,Aerospace,N,N,Northeast,0-5yrs,Medium,1,0,21000,21000,0,1325159
9,1628,7,N,-2,5,External,Aerospace,N,N,Northeast,6-10yrs,Small,2,1,71000,42000,29000,591963
9,1629,11,Y,-2,,External,Aerospace,N,N,Northeast,0-5yrs,Medium,4,5,229000,84000,145000,3625192
9,1630,1,N,-2,-1,Internal,Aerospace,N,N,Northeast,0-5yrs,Small,4,0,84000,84000,0,1181316
9,1631,1,N,-2,-1,Internal,Aerospace,N,N,Southeast,0-5yrs,Small,1,1,50000,21000,29000,782725
9,1632,1,N,-2,-1,Internal,Aerospace,N,N,Southeast,0-5yrs,Small,2,0,42000,42000,0,737481
9,1633,11,Y,-2,,Internal,Aerospace,N,Y,Southwest,0-5yrs,Small,3,3,216000,96000,120000,3836504
9,1634,1,N,-2,-1,Internal,Aerospace,N,N,Southwest,0-5yrs,Small,1,0,21000,21000,0,252952
9,1635,5,N,-2,3,Internal,Aerospace,N,N,Northeast,0-5yrs,Medium,1,3,108000,21000,87000,701513
9,1636,4,N,-2,2,Internal,Aerospace,N,N,Midwest,6-10yrs,Medium,1,1,50000,21000,29000,969224
9,1637,11,Y,-2,,Internal,Aerospace,N,Y,West,0-5yrs,Medium,3,2,176000,96000,80000,1859870
9,1638,1,N,-2,-1,Internal,Aerospace,N,N,West,6-10yrs,Small,0,1,29000,0,29000,195385
9,1639,3,N,-2,1,Internal,Aerospace,N,N,West,6-10yrs,Large,2,3,129000,42000,87000,290488
9,1752,1,N,-1,0,Referral,Aerospace,Y,N,Southeast,10+yrs,Small,2,0,42000,42000,0,958222
9,1753,10,Y,-1,,Referral,Aerospace,Y,N,Southeast,10+yrs,Small,2,3,129000,42000,87000,3066621
9,1754,2,N,-1,1,External,Aerospace,N,N,West,0-5yrs,Medium,1,0,21000,21000,0,1071405
9,1755,8,N,-1,7,External,Aerospace,N,Y,West,6-10yrs,Small,3,2,176000,96000,80000,3097519
9,1756,2,N,-1,1,External,Aerospace,N,N,Midwest,6-10yrs,Medium,0,3,87000,0,87000,547451
9,1757,5,N,-1,4,External,Aerospace,N,N,Midwest,0-5yrs,Medium,2,2,100000,42000,58000,1162335
9,1758,4,N,-1,3,External,Aerospace,N,N,Midwest,6-10yrs,Medium,2,1,71000,42000,29000,465226
9,1759,1,N,-1,0,External,Aerospace,N,N,West,0-5yrs,Medium,1,2,79000,21000,58000,1949292
9,1760,3,N,-1,2,Internal,Aerospace,N,N,Southeast,6-10yrs,Small,1,0,21000,21000,0,73684
9,1761,3,N,-1,2,Internal,Aerospace,N,N,Southwest,0-5yrs,Large,2,0,42000,42000,0,781488
